Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
12053,14.47,-11.79,8,0.25,1448,0.00,0.00,0.7955,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,5.99,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
12217,14.47,-11.79,8,0.25,1446,0.00,0.00,0.7945,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,5.99,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
12379,14.59,-11.79,8,0.25,1440,0.00,0.00,0.7965,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,5.95,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
12543,14.47,-11.79,8,0.25,1457,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,5.99,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
12706,14.47,-11.79,8,0.25,1451,0.00,0.00,0.7975,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.49,5.99,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
12869,14.47,-11.79,8,0.25,1448,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,5.95,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
13031,14.47,-11.79,8,0.25,1452,0.00,0.00,0.7925,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,5.95,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
13194,14.47,-11.79,8,0.25,1452,0.00,0.00,0.7975,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,5.99,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
13357,14.47,-11.79,8,0.25,1456,0.00,0.00,0.7935,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,5.95,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
13522,14.47,-11.79,8,0.25,1452,0.00,0.00,0.7955,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,5.95,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
